"","gene_id","gene_name","log2FoldChange","DE","hl"
"1","ENSMUSG00000019370","Calm3",1.484582032,"Projections",16
"2","ENSMUSG00000024661","Fth1",3.948039009,"Projections",16
"3","ENSMUSG00000027523","Gnas",1.216205462,"Projections",16
"4","ENSMUSG00000029632","Ndufa4",2.803417034,"Projections",16
"5","ENSMUSG00000031818","Cox4i1",2.974877179,"Projections",16
"6","ENSMUSG00000032518","Rpsa",3.834447834,"Projections",16
"7","ENSMUSG00000037071","Scd1",3.116926302,"Projections",16
"8","ENSMUSG00000041697","Cox6a1",3.946830056,"Projections",16
"9","ENSMUSG00000049775","Tmsb4x",1.958784784,"Projections",16
"10","ENSMUSG00000055553","Kxd1",0.65752954,"Projections",16
"11","ENSMUSG00000057322","Rpl38",3.352452986,"Projections",16
"12","ENSMUSG00000067786","Nnat",1.177568905,"Projections",16
"13","ENSMUSG00000084786","Ubl5",2.465690929,"Projections",16
"14","ENSMUSG00000090223","Pcp4",1.729398681,"Projections",16
"15","ENSMUSG00000093674","Rpl41",3.462848863,"Projections",16
"16","ENSMUSG00000035674","Ndufa3",2.873700093,"Projections",15.4170116320753
"17","ENSMUSG00000004187","Kifc2",2.787365447,"Projections",14.9856911716358
"18","ENSMUSG00000071528","Usmg5",3.07829453,"Projections",14.9006492494743
"19","ENSMUSG00000067274","Rplp0",3.477922594,"Projections",14.7177970605089
"20","ENSMUSG00000038370","Pcp4l1",1.444023044,"Projections",14.5060806432619
"21","ENSMUSG00000032330","Cox7a2",3.096582855,"Projections",14.1407778486817
"22","ENSMUSG00000028648","Ndufs5",2.311233907,"Projections",14.0793390944808
"23","ENSMUSG00000072772","Grcc10",2.050726291,"Projections",13.8622608316134
"24","ENSMUSG00000031848","Lsm4",1.73178408,"Projections",13.8611377182471
"25","ENSMUSG00000054428","Atpif1",2.577458726,"Projections",13.8252857758871
"26","ENSMUSG00000074884","Serf2",1.880964677,"Projections",13.7097522388918
"27","ENSMUSG00000031231","Cox7b",2.799203225,"Projections",13.5045524526534
"28","ENSMUSG00000028692","Akr1a1",1.236768292,"Projections",13.4993428239306
"29","ENSMUSG00000020894","Vamp2",1.356858415,"Projections",13.2464589509105
"30","ENSMUSG00000025290","Rps24",3.47016207,"Projections",12.8885460960888
"31","ENSMUSG00000020163","Uqcr11",3.026616432,"Projections",12.7234982774948
"32","ENSMUSG00000035203","Epn1",2.623867934,"Projections",12.5961432727153
"33","ENSMUSG00000058756","Thra",1.726671446,"Projections",12.5433634049905
"34","ENSMUSG00000061518","Cox5b",2.928701106,"Projections",12.5102564395922
"35","ENSMUSG00000004558","Ndrg2",1.116378881,"Projections",12.3851462002986
"36","ENSMUSG00000039001","Rps21",3.658055472,"Projections",12.2006867315663
"37","ENSMUSG00000018585","Atox1",2.152923117,"Projections",12.1902126001444
"38","ENSMUSG00000004032","Gstm5",2.148583812,"Projections",12.066714166864
"39","ENSMUSG00000059534","Uqcr10",2.837686796,"Projections",11.7130070943685
"40","ENSMUSG00000038690","Atp5j2",2.924453074,"Projections",11.378887457197
"41","ENSMUSG00000010376","Nedd8",0.98193798,"Projections",11.2409751239066
"42","ENSMUSG00000020932","Gfap",1.988483509,"Projections",11.1145557098756
"43","ENSMUSG00000024953","Prdx5",1.17626232,"Projections",11.0990286727556
"44","ENSMUSG00000037742","Eef1a1",2.170451283,"Projections",11.0794498209581
"45","ENSMUSG00000038900","Rpl12",3.892297471,"Projections",10.9802834851969
"46","ENSMUSG00000039195","1110008P14Rik",1.54104223,"Projections",10.9757093658934
"47","ENSMUSG00000017778","Cox7c",3.244391093,"Projections",10.9552706828308
"48","ENSMUSG00000028964","Park7",0.639194739,"Projections",10.9255831440694
"49","ENSMUSG00000044894","Uqcrq",2.806526274,"Projections",10.842688974363
"50","ENSMUSG00000073616","Cops9",2.572602727,"Projections",10.8058558671849
"51","ENSMUSG00000022452","Smdt1",2.084973385,"Projections",10.6682197241837
"52","ENSMUSG00000063882","Uqcrh",2.475293042,"Projections",10.6527800125853
"53","ENSMUSG00000053192","Mllt11",0.799543185,"Projections",10.5294491234668
"54","ENSMUSG00000040867","Begain",1.979085097,"Projections",10.5211319895074
"55","ENSMUSG00000055839","Elob",2.031310558,"Projections",10.4533451927698
"56","ENSMUSG00000030685","Kctd13",0.879419875,"Projections",10.3704481616469
"57","ENSMUSG00000022982","Sod1",1.79414036,"Projections",10.197479668827
"58","ENSMUSG00000023904","Hcfc1r1",1.616685876,"Projections",10.1814457001004
"59","ENSMUSG00000028843","Sh3bgrl3",0.786724523,"Projections",10.1450862206024
"60","ENSMUSG00000000088","Cox5a",1.71763042,"Projections",10.1302973137255
"61","ENSMUSG00000031207","Msn",0.640220397,"Projections",10.1156438848178
"62","ENSMUSG00000067288","Rps28",3.695873357,"Projections",9.86134104782347
"63","ENSMUSG00000028194","Ddah1",0.684858302,"Projections",9.86058310019076
"64","ENSMUSG00000025967","Eef1b2",2.989956586,"Projections",9.85791742614296
"65","ENSMUSG00000073702","Rpl31",3.517927568,"Projections",9.83792873665733
"66","ENSMUSG00000003072","Atp5d",1.384756076,"Projections",9.65662299321531
"67","ENSMUSG00000022323","Rida",1.947880621,"Projections",9.64906232792081
"68","ENSMUSG00000009927","Rps25",2.761010758,"Projections",9.62888065282522
"69","ENSMUSG00000025508","Rplp2",2.984466594,"Projections",9.62342543412637
"70","ENSMUSG00000033615","Cplx1",1.062322687,"Projections",9.5458946996058
"71","ENSMUSG00000018411","Mapt",0.67456465,"Projections",9.51885073590844
"72","ENSMUSG00000034566","Atp5h",1.708219483,"Projections",9.4514420103437
"73","ENSMUSG00000062054","Iah1",1.109573817,"Projections",9.43723769682033
"74","ENSMUSG00000037126","Psd",2.893024435,"Projections",9.32525503824949
"75","ENSMUSG00000083992","Gm11478",3.492217525,"Projections",9.3186302842664
