gene_id,transcript_id,gene_name,No_Elavl_clip
ENSMUSG00000000001,ENSMUST00000000001,Gnai3,2
ENSMUSG00000000056,ENSMUST00000103015,Narf,3
ENSMUSG00000000058,ENSMUST00000000058,Cav2,5
ENSMUSG00000000078,ENSMUST00000000080,Klf6,3
ENSMUSG00000000088,ENSMUST00000000090,Cox5a,0
ENSMUSG00000000120,ENSMUST00000000122,Ngfr,0
ENSMUSG00000000125,ENSMUST00000000127,Wnt3,0
ENSMUSG00000000127,ENSMUST00000000129,Fer,0
ENSMUSG00000000131,ENSMUST00000168189,Xpo6,1
ENSMUSG00000000142,ENSMUST00000052915,Axin2,0
ENSMUSG00000000148,ENSMUST00000041588,Brat1,0
ENSMUSG00000000149,ENSMUST00000000153,Gna12,1
ENSMUSG00000000168,ENSMUST00000034567,Dlat,3
ENSMUSG00000000171,ENSMUST00000000175,Sdhd,0
ENSMUSG00000000184,ENSMUST00000000188,Ccnd2,3
ENSMUSG00000000194,ENSMUST00000056433,Gpr107,0
ENSMUSG00000000197,ENSMUST00000000201,Nalcn,2
ENSMUSG00000000223,ENSMUST00000153424,Drp2,1
ENSMUSG00000000247,ENSMUST00000000253,Lhx2,1
ENSMUSG00000000266,ENSMUST00000112993,Mid2,5
ENSMUSG00000000276,ENSMUST00000000285,Dgke,6
ENSMUSG00000000278,ENSMUST00000000287,Scpep1,1
ENSMUSG00000000282,ENSMUST00000000291,Mnt,0
ENSMUSG00000000295,ENSMUST00000000304,Hddc2,0
ENSMUSG00000000305,ENSMUST00000000314,Cdh4,0
ENSMUSG00000000308,ENSMUST00000000317,Ckmt1,1
ENSMUSG00000000317,ENSMUST00000000326,Bcl6b,0
ENSMUSG00000000325,ENSMUST00000232241,Arvcf,0
ENSMUSG00000000326,ENSMUST00000165430,Comt,0
ENSMUSG00000000339,ENSMUST00000000348,Rtca,0
ENSMUSG00000000340,ENSMUST00000000349,Dbt,0
ENSMUSG00000000346,ENSMUST00000000356,Dazap2,3
ENSMUSG00000000355,ENSMUST00000000365,Mcts1,1
ENSMUSG00000000374,ENSMUST00000000384,Trappc10,3
ENSMUSG00000000378,ENSMUST00000109721,Ccm2,0
ENSMUSG00000000384,ENSMUST00000000394,Tbrg4,0
ENSMUSG00000000399,ENSMUST00000205002,Ndufa9,0
ENSMUSG00000000409,ENSMUST00000102596,Lck,0
ENSMUSG00000000420,ENSMUST00000000430,Galnt1,1
ENSMUSG00000000441,ENSMUST00000000451,Raf1,2
ENSMUSG00000000489,ENSMUST00000000500,Pdgfb,0
ENSMUSG00000000531,ENSMUST00000000543,Grasp,0
ENSMUSG00000000532,ENSMUST00000000544,Acvr1b,3
ENSMUSG00000000538,ENSMUST00000102683,Tom1l2,2
ENSMUSG00000000552,ENSMUST00000168828,Zfp385a,1
ENSMUSG00000000560,ENSMUST00000197284,Gabra2,6
ENSMUSG00000000561,ENSMUST00000010278,Wdr77,2
ENSMUSG00000000563,ENSMUST00000118209,Atp5pb,0
ENSMUSG00000000568,ENSMUST00000172361,Hnrnpd,9
ENSMUSG00000000581,ENSMUST00000000594,C1d,1
ENSMUSG00000000594,ENSMUST00000000608,Gm2a,1
ENSMUSG00000000600,ENSMUST00000080085,Krit1,0
ENSMUSG00000000605,ENSMUST00000000619,Clcn4,5
ENSMUSG00000000627,ENSMUST00000000641,Sema4f,0
ENSMUSG00000000628,ENSMUST00000000642,Hk2,0
ENSMUSG00000000632,ENSMUST00000000646,Sez6,2
ENSMUSG00000000708,ENSMUST00000000724,Kat2b,3
ENSMUSG00000000711,ENSMUST00000000727,Rab5b,2
ENSMUSG00000000743,ENSMUST00000000759,Chmp1a,2
ENSMUSG00000000751,ENSMUST00000000767,Rpa1,1
ENSMUSG00000000759,ENSMUST00000000776,Tubgcp3,2
ENSMUSG00000000776,ENSMUST00000000793,Polr3d,0
ENSMUSG00000000787,ENSMUST00000000804,Ddx3x,8
ENSMUSG00000000794,ENSMUST00000000811,Kcnn3,0
ENSMUSG00000000804,ENSMUST00000108075,Usp32,4
ENSMUSG00000000811,ENSMUST00000000828,Txnrd3,0
ENSMUSG00000000823,ENSMUST00000128553,Zfp512b,2
ENSMUSG00000000826,ENSMUST00000072334,Dnajc5,7
ENSMUSG00000000827,ENSMUST00000108799,Tpd52l2,0
ENSMUSG00000000838,ENSMUST00000114657,Fmr1,5
ENSMUSG00000000861,ENSMUST00000118955,Bcl11a,0
ENSMUSG00000000881,ENSMUST00000000901,Dlg3,3
ENSMUSG00000000902,ENSMUST00000000925,Smarcb1,0
ENSMUSG00000000915,ENSMUST00000000939,Hip1r,1
ENSMUSG00000000959,ENSMUST00000000985,Oxa1l,0
ENSMUSG00000000976,ENSMUST00000001002,Heatr6,0
ENSMUSG00000001016,ENSMUST00000001042,Ilf2,2
ENSMUSG00000001017,ENSMUST00000076639,Chtop,3
ENSMUSG00000001034,ENSMUST00000079080,Mapk7,0
ENSMUSG00000001036,ENSMUST00000001063,Epn2,3
ENSMUSG00000001052,ENSMUST00000001079,Sec24b,1
ENSMUSG00000001053,ENSMUST00000001080,N4bp3,0
ENSMUSG00000001054,ENSMUST00000001081,Rmnd5b,0
ENSMUSG00000001056,ENSMUST00000127405,Nhp2,0
ENSMUSG00000001062,ENSMUST00000118279,Vps9d1,0
ENSMUSG00000001065,ENSMUST00000001092,Zfp276,0
ENSMUSG00000001082,ENSMUST00000001109,Mfsd10,1
ENSMUSG00000001089,ENSMUST00000170102,Luzp1,5
ENSMUSG00000001100,ENSMUST00000001127,Poldip2,0
ENSMUSG00000001120,ENSMUST00000001148,Pcbp3,0
ENSMUSG00000001127,ENSMUST00000120356,Araf,2
ENSMUSG00000001128,ENSMUST00000001156,Cfp,0
ENSMUSG00000001138,ENSMUST00000097776,Cnnm3,3
ENSMUSG00000001143,ENSMUST00000125304,Lman2l,0
ENSMUSG00000001150,ENSMUST00000170795,Mcm3ap,0
ENSMUSG00000001151,ENSMUST00000217838,Pcnt,2
ENSMUSG00000001156,ENSMUST00000001184,Mxd1,3
ENSMUSG00000001157,ENSMUST00000001185,Gmcl1,2
ENSMUSG00000001158,ENSMUST00000001186,Snrnp27,1
ENSMUSG00000001166,ENSMUST00000117193,Oas1c,0
ENSMUSG00000001175,ENSMUST00000110082,Calm1,1
ENSMUSG00000001211,ENSMUST00000001240,Agpat3,8
ENSMUSG00000001227,ENSMUST00000001256,Sema6b,1
ENSMUSG00000001229,ENSMUST00000038794,Dpp9,1
ENSMUSG00000001248,ENSMUST00000001280,Gramd1a,0
ENSMUSG00000001260,ENSMUST00000199705,Gabrg1,4
ENSMUSG00000001270,ENSMUST00000001304,Ckb,1
ENSMUSG00000001280,ENSMUST00000001326,Sp1,4
ENSMUSG00000001285,ENSMUST00000113682,Myg1,0
ENSMUSG00000001300,ENSMUST00000001319,Efnb2,4
ENSMUSG00000001305,ENSMUST00000001339,Rrp15,1
ENSMUSG00000001313,ENSMUST00000001347,Rnd2,0
ENSMUSG00000001323,ENSMUST00000065211,Srr,1
ENSMUSG00000001334,ENSMUST00000102600,Fndc5,4
ENSMUSG00000001366,ENSMUST00000001402,Fbxo9,1
ENSMUSG00000001376,ENSMUST00000001412,Vps50,0
ENSMUSG00000001380,ENSMUST00000001416,Hars,1
ENSMUSG00000001383,ENSMUST00000001419,Zmat2,2
ENSMUSG00000001415,ENSMUST00000001451,Smg5,0
ENSMUSG00000001416,ENSMUST00000001452,Cct3,1
ENSMUSG00000001419,ENSMUST00000001455,Mef2d,5
ENSMUSG00000001424,ENSMUST00000001460,Snd1,1
ENSMUSG00000001440,ENSMUST00000001479,Kpnb1,7
ENSMUSG00000001441,ENSMUST00000001480,Npepps,3
