experiment,gene_id,gene_name,group,Half_life,HL_LoInt95,HL_UpInt95
PCN.dnCaf1_Slamseq,ENSMUSG00000000001,Gnai3,GFP,2.725,2.426081218,3.04898083
PCN.dnCaf1_Slamseq,ENSMUSG00000000078,Klf6,GFP,1.475,1.414673455,1.537177739
PCN.dnCaf1_Slamseq,ENSMUSG00000000085,Scmh1,GFP,2.875,2.657736862,3.104648203
PCN.dnCaf1_Slamseq,ENSMUSG00000000131,Xpo6,GFP,5.625,4.403704872,7.024029807
PCN.dnCaf1_Slamseq,ENSMUSG00000000134,Tfe3,GFP,3.325,2.989781618,3.685709769
PCN.dnCaf1_Slamseq,ENSMUSG00000000142,Axin2,GFP,1.7,1.563573499,1.84481677
PCN.dnCaf1_Slamseq,ENSMUSG00000000148,Brat1,GFP,1.95,1.690119522,2.237136165
PCN.dnCaf1_Slamseq,ENSMUSG00000000149,Gna12,GFP,4.725,3.86662015,5.697602758
PCN.dnCaf1_Slamseq,ENSMUSG00000000168,Dlat,GFP,3.5,3.079196702,3.959355622
PCN.dnCaf1_Slamseq,ENSMUSG00000000171,Sdhd,GFP,7.475,5.724043636,9.398188588
PCN.dnCaf1_Slamseq,ENSMUSG00000000184,Ccnd2,GFP,1.65,1.484367361,1.829033313
PCN.dnCaf1_Slamseq,ENSMUSG00000000247,Lhx2,GFP,2.975,2.516322452,3.489584762
PCN.dnCaf1_Slamseq,ENSMUSG00000000253,Gmpr,GFP,4.175,3.065458161,5.522934852
PCN.dnCaf1_Slamseq,ENSMUSG00000000266,Mid2,GFP,2.325,2.106917031,2.55896895
PCN.dnCaf1_Slamseq,ENSMUSG00000000276,Dgke,GFP,2.525,2.277103748,2.791888371
PCN.dnCaf1_Slamseq,ENSMUSG00000000278,Scpep1,GFP,2.125,1.936343676,2.326568669
PCN.dnCaf1_Slamseq,ENSMUSG00000000305,Cdh4,GFP,8.5,6.223049169,10.90541826
PCN.dnCaf1_Slamseq,ENSMUSG00000000325,Arvcf,GFP,4.55,3.42575773,5.885948278
PCN.dnCaf1_Slamseq,ENSMUSG00000000326,Comt,GFP,3.8,3.33885532,4.302995598
PCN.dnCaf1_Slamseq,ENSMUSG00000000339,Rtca,GFP,3.85,3.483523312,4.24332593
PCN.dnCaf1_Slamseq,ENSMUSG00000000340,Dbt,GFP,3.55,2.932938614,4.25184536
PCN.dnCaf1_Slamseq,ENSMUSG00000000346,Dazap2,GFP,2.975,2.59253326,3.397331909
PCN.dnCaf1_Slamseq,ENSMUSG00000000378,Ccm2,GFP,4.8,4.076471873,5.600005371
PCN.dnCaf1_Slamseq,ENSMUSG00000000384,Tbrg4,GFP,2.975,2.658205876,3.317323478
PCN.dnCaf1_Slamseq,ENSMUSG00000000416,Cttnbp2,GFP,2.35,2.1421138,2.571978783
PCN.dnCaf1_Slamseq,ENSMUSG00000000420,Galnt1,GFP,2.85,2.583523066,3.135273053
PCN.dnCaf1_Slamseq,ENSMUSG00000000439,Mkrn2,GFP,4.45,3.80426412,5.168636122
PCN.dnCaf1_Slamseq,ENSMUSG00000000441,Raf1,GFP,2.525,2.39546934,2.659480933
PCN.dnCaf1_Slamseq,ENSMUSG00000000489,Pdgfb,GFP,2.55,2.344721957,2.7683228
PCN.dnCaf1_Slamseq,ENSMUSG00000000532,Acvr1b,GFP,2.65,2.555342591,2.747124366
PCN.dnCaf1_Slamseq,ENSMUSG00000000538,Tom1l2,GFP,4.675,4.125239532,5.268865773
PCN.dnCaf1_Slamseq,ENSMUSG00000000552,Zfp385a,GFP,2.85,2.58236813,3.13658063
PCN.dnCaf1_Slamseq,ENSMUSG00000000560,Gabra2,GFP,4.525,3.791317373,5.346040263
PCN.dnCaf1_Slamseq,ENSMUSG00000000561,Wdr77,GFP,6.775,4.566437509,9.352877951
PCN.dnCaf1_Slamseq,ENSMUSG00000000563,Atp5f1,GFP,3.925,3.756549474,4.098834891
PCN.dnCaf1_Slamseq,ENSMUSG00000000567,Sox9,GFP,0.95,0.766240133,1.163759791
PCN.dnCaf1_Slamseq,ENSMUSG00000000568,Hnrnpd,GFP,7.675,5.376543372,10.27174999
PCN.dnCaf1_Slamseq,ENSMUSG00000000581,C1d,GFP,5.725,4.766320136,6.780705499
PCN.dnCaf1_Slamseq,ENSMUSG00000000594,Gm2a,GFP,3.1,2.735717389,3.49863845
PCN.dnCaf1_Slamseq,ENSMUSG00000000600,Krit1,GFP,3.725,3.304061846,4.181075608
PCN.dnCaf1_Slamseq,ENSMUSG00000000627,Sema4f,GFP,4.1,3.297078195,5.028921099
PCN.dnCaf1_Slamseq,ENSMUSG00000000631,Myo18a,GFP,4.15,3.464289564,4.918358837
PCN.dnCaf1_Slamseq,ENSMUSG00000000708,Kat2b,GFP,2.175,1.789038883,2.61538227
PCN.dnCaf1_Slamseq,ENSMUSG00000000738,Spg7,GFP,3.85,3.152854233,4.656567915
PCN.dnCaf1_Slamseq,ENSMUSG00000000740,Rpl13,GFP,9,7.093038009,10.97751054
PCN.dnCaf1_Slamseq,ENSMUSG00000000743,Chmp1a,GFP,7.975,5.976377896,10.15282309
PCN.dnCaf1_Slamseq,ENSMUSG00000000759,Tubgcp3,GFP,4.025,3.523589216,4.571540048
PCN.dnCaf1_Slamseq,ENSMUSG00000000776,Polr3d,GFP,2.325,2.132293382,2.529457669
PCN.dnCaf1_Slamseq,ENSMUSG00000000787,Ddx3x,GFP,3.575,3.141280962,4.048443532
PCN.dnCaf1_Slamseq,ENSMUSG00000000794,Kcnn3,GFP,1.875,1.555862063,2.239222307
PCN.dnCaf1_Slamseq,ENSMUSG00000000804,Usp32,GFP,3.9,3.4433247,4.396170618
PCN.dnCaf1_Slamseq,ENSMUSG00000000823,Zfp512b,GFP,4.875,3.808237172,6.104120776
PCN.dnCaf1_Slamseq,ENSMUSG00000000826,Dnajc5,GFP,5.95,5.088721571,6.884904415
PCN.dnCaf1_Slamseq,ENSMUSG00000000827,Tpd52l2,GFP,4.2,3.36075103,5.164237606
PCN.dnCaf1_Slamseq,ENSMUSG00000000838,Fmr1,GFP,3.35,2.918642202,3.823467461
PCN.dnCaf1_Slamseq,ENSMUSG00000000861,Bcl11a,GFP,3.075,2.598560719,3.607385891
PCN.dnCaf1_Slamseq,ENSMUSG00000000881,Dlg3,GFP,6.55,4.500026907,8.946701213
PCN.dnCaf1_Slamseq,ENSMUSG00000000902,Smarcb1,GFP,2.625,2.484744895,2.770727595
PCN.dnCaf1_Slamseq,ENSMUSG00000000915,Hip1r,GFP,7.075,5.143303644,9.258984965
PCN.dnCaf1_Slamseq,ENSMUSG00000000976,Heatr6,GFP,2.425,2.204757316,2.660483099
PCN.dnCaf1_Slamseq,ENSMUSG00000001016,Ilf2,GFP,4.6,3.819922751,5.475435795
PCN.dnCaf1_Slamseq,ENSMUSG00000001017,Chtop,GFP,3.3,3.064242397,3.54801501
PCN.dnCaf1_Slamseq,ENSMUSG00000001018,Snapin,GFP,2.8,2.388558962,3.25883223
PCN.dnCaf1_Slamseq,ENSMUSG00000001036,Epn2,GFP,2.75,2.51923128,2.995220724
PCN.dnCaf1_Slamseq,ENSMUSG00000001052,Sec24b,GFP,2.35,2.243790427,2.459700265
PCN.dnCaf1_Slamseq,ENSMUSG00000001054,Rmnd5b,GFP,3.075,2.759422623,3.414796799
PCN.dnCaf1_Slamseq,ENSMUSG00000001056,Nhp2,GFP,6.55,4.905471326,8.434466111
PCN.dnCaf1_Slamseq,ENSMUSG00000001062,Vps9d1,GFP,5.25,4.247815863,6.386286873
PCN.dnCaf1_Slamseq,ENSMUSG00000001065,Zfp276,GFP,2.725,2.331699433,3.163214857
PCN.dnCaf1_Slamseq,ENSMUSG00000001089,Luzp1,GFP,1.8,1.726573112,1.875652422
PCN.dnCaf1_Slamseq,ENSMUSG00000001098,Kctd10,GFP,2.35,2.241510203,2.46219587
PCN.dnCaf1_Slamseq,ENSMUSG00000001100,Poldip2,GFP,4.075,3.555128782,4.642268119
PCN.dnCaf1_Slamseq,ENSMUSG00000001105,Ift20,GFP,4.575,3.821264601,5.416091132
PCN.dnCaf1_Slamseq,ENSMUSG00000001119,Col6a1,GFP,4.875,4.316993948,5.490660714
PCN.dnCaf1_Slamseq,ENSMUSG00000001120,Pcbp3,GFP,8.125,5.961425972,10.46324468
PCN.dnCaf1_Slamseq,ENSMUSG00000001127,Araf,GFP,6.5,5.337070075,7.778704275
PCN.dnCaf1_Slamseq,ENSMUSG00000001150,Mcm3ap,GFP,4.3,3.75634604,4.892767193
PCN.dnCaf1_Slamseq,ENSMUSG00000001156,Mxd1,GFP,1.95,1.750346877,2.165754269
PCN.dnCaf1_Slamseq,ENSMUSG00000001157,Gmcl1,GFP,2.15,1.808310638,2.535994175
PCN.dnCaf1_Slamseq,ENSMUSG00000001158,Snrnp27,GFP,3.025,2.762892289,3.304150975
PCN.dnCaf1_Slamseq,ENSMUSG00000001175,Calm1,GFP,7.55,7.005469168,8.114078592
PCN.dnCaf1_Slamseq,ENSMUSG00000001211,Agpat3,GFP,7.325,6.074142257,8.676707749
PCN.dnCaf1_Slamseq,ENSMUSG00000001227,Sema6b,GFP,4.675,4.01250409,5.401886385
PCN.dnCaf1_Slamseq,ENSMUSG00000001229,Dpp9,GFP,3.325,3.00231824,3.671510767
PCN.dnCaf1_Slamseq,ENSMUSG00000001240,Ramp2,GFP,4.125,3.521566765,4.795022995
PCN.dnCaf1_Slamseq,ENSMUSG00000001248,Gramd1a,GFP,4.475,4.056793556,4.921937083
