source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,intersection_query_percent,effective_domain_size,intersections
GO:MF,structural constituent of ribosome,GO:0003735,TRUE,9.11E-17,16.04044086,350,140,24,17.14285714,25287,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000045128,ENSMUSG00000040952"
GO:MF,structural molecule activity,GO:0005198,FALSE,2.06E-12,11.6867979,928,140,30,21.42857143,25287,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000021061,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000063063,ENSMUSG00000079435,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952"
GO:MF,rRNA binding,GO:0019843,TRUE,0.001392378,2.856242881,70,140,6,4.285714286,25287,"ENSMUSG00000024608,ENSMUSG00000003429,ENSMUSG00000008668,ENSMUSG00000029614,ENSMUSG00000041841,ENSMUSG00000032399"
GO:MF,cytoskeletal protein binding,GO:0008092,TRUE,0.001710594,2.766853065,1008,140,19,13.57142857,25287,"ENSMUSG00000059713,ENSMUSG00000018411,ENSMUSG00000038366,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000054455,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000021557,ENSMUSG00000000915,ENSMUSG00000019066,ENSMUSG00000054728,ENSMUSG00000030000,ENSMUSG00000011589,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:MF,protein binding,GO:0005515,FALSE,0.002197315,2.658107599,10353,140,84,60,25287,"ENSMUSG00000021303,ENSMUSG00000044627,ENSMUSG00000028411,ENSMUSG00000059713,ENSMUSG00000001323,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000034485,ENSMUSG00000000088,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000038366,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000034613,ENSMUSG00000031508,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000033066,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000022390,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000047013,ENSMUSG00000025290,ENSMUSG00000037499,ENSMUSG00000053617,ENSMUSG00000063063,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000021557,ENSMUSG00000042462,ENSMUSG00000000915,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000020440,ENSMUSG00000038127,ENSMUSG00000019066,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000062580,ENSMUSG00000029632,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:MF,translation regulator activity,GO:0045182,TRUE,0.01668391,1.777702171,159,140,7,5,25287,"ENSMUSG00000024608,ENSMUSG00000071644,ENSMUSG00000006435,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000031029"
GO:BP,cytoplasmic translation,GO:0002181,TRUE,3.86E-19,18.41341214,155,142,20,14.08450704,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,peptide metabolic process,GO:0006518,FALSE,2.29E-15,14.64091166,929,142,33,23.23943662,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,translation,GO:0006412,FALSE,3.63E-15,14.44033385,746,142,30,21.12676056,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,peptide biosynthetic process,GO:0043043,FALSE,8.67E-15,14.06208327,770,142,30,21.12676056,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
