"","Well","DIV","MFR","shRNA"
"1","A1",7,1.157333,"Scrambled"
"2","A1",11,14.21875,"Scrambled"
"3","A1",14,19.216667,"Scrambled"
"4","A1",18,18.273056,"Scrambled"
"5","A1",21,18.112727,"Scrambled"
"6","A2",7,6.302667,"Scrambled"
"7","A2",11,20.661795,"Scrambled"
"8","A2",14,17.895,"Scrambled"
"9","A2",18,16.36963,"Scrambled"
"10","A2",21,25.50875,"Scrambled"
"11","A3",7,8.162381,"Scrambled"
"12","A3",11,18.827333,"Scrambled"
"13","A3",14,20.387222,"Scrambled"
"14","A3",18,18.958333,"Scrambled"
"15","A3",21,28.421667,"Scrambled"
"16","A4",7,0.136667,"Larp"
"17","A4",11,1.862,"Larp"
"18","A4",14,13.748667,"Larp"
"19","A4",18,11.026111,"Larp"
"20","A4",21,4.779444,"Larp"
"21","A5",14,20.452083,"Larp"
"22","A5",7,9.192778,"Larp"
"23","A5",18,17.550556,"Larp"
"24","A5",11,11.981905,"Larp"
"25","A5",21,6.629722,"Larp"
"26","A6",21,4.503333,"Larp"
"27","A6",14,1.361333,"Larp"
"28","A6",7,5.783333,"Larp"
"29","A6",18,5.287083,"Larp"
"30","A6",11,0.688333,"Larp"
"31","B1",11,22.604333,"Scrambled"
"32","B1",21,21.232564,"Scrambled"
"33","B1",7,16.656,"Scrambled"
"34","B1",18,26.530513,"Scrambled"
"35","B1",14,19.555556,"Scrambled"
"36","B2",7,2.515833,"Scrambled"
"37","B2",11,9.706905,"Scrambled"
"38","B2",14,13.314872,"Scrambled"
"39","B2",18,20.497576,"Scrambled"
"40","B2",21,19.688056,"Scrambled"
"41","B3",7,5.371333,"Scrambled"
"42","B3",11,10.609048,"Scrambled"
"43","B3",14,9.470417,"Scrambled"
"44","B3",18,10.367778,"Scrambled"
"45","B3",21,9.652083,"Scrambled"
"46","B4",7,6.789259,"Larp"
"47","B4",11,22.723704,"Larp"
"48","B4",14,24.31,"Larp"
"49","B4",18,14.566,"Larp"
"50","B4",21,24.170667,"Larp"
"51","B5",14,9.823939,"Larp"
"52","B5",11,12.791944,"Larp"
"53","B5",21,10.920667,"Larp"
"54","B5",7,2.888889,"Larp"
"55","B5",18,13.448519,"Larp"
"56","B6",18,16.681212,"Larp"
"57","B6",11,15.451852,"Larp"
"58","B6",21,11.97,"Larp"
"59","B6",14,20.801,"Larp"
"60","B6",7,3.4175,"Larp"
"61","C4",7,6.03125,"Elavls"
"62","C4",18,16.473939,"Elavls"
"63","C4",11,13.679444,"Elavls"
"64","C4",21,12.353056,"Elavls"
"65","C4",14,11.658182,"Elavls"
"66","C5",7,3.216111,"Elavls"
"67","C5",11,5.413704,"Elavls"
"68","C5",14,8.76037,"Elavls"
"69","C5",18,15.553333,"Elavls"
"70","C5",21,10.608333,"Elavls"
"71","C6",7,2.693333,"Elavls"
"72","C6",11,7.942667,"Elavls"
"73","C6",14,9.807619,"Elavls"
"74","C6",18,10.985333,"Elavls"
"75","C6",21,8.396333,"Elavls"
"76","D4",7,3.23375,"Elavls"
"77","D4",11,14.541852,"Elavls"
"78","D4",14,1.606667,"Elavls"
"79","D4",18,3.417619,"Elavls"
"80","D4",21,6.161667,"Elavls"
"81","D5",7,3.428333,"Elavls"
"82","D5",11,5.1525,"Elavls"
"83","D5",14,10.095556,"Elavls"
"84","D5",18,6.165714,"Elavls"
"85","D5",21,7.676667,"Elavls"
"86","D6",14,16.669444,"Elavls"
"87","D6",7,4.553333,"Elavls"
"88","D6",18,11.968667,"Elavls"
"89","D6",11,5.314,"Elavls"
"90","D6",21,11.443333,"Elavls"
