gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneName
ENSMUSG00000034336	3799.06084	-2.654134107	0.081032405	-32.75398424	2.66E-235	4.95E-231	Ina
ENSMUSG00000028803	1503.164102	-2.746213069	0.100381286	-27.35781908	8.72E-165	8.09E-161	Nipal3
ENSMUSG00000047139	6638.226158	-2.360138151	0.087022715	-27.12094369	5.58E-162	3.45E-158	Cd24a
ENSMUSG00000052889	3533.334525	-2.371993615	0.088223063	-26.88632114	3.17E-159	1.47E-155	Prkcb
ENSMUSG00000022265	3195.137228	-1.950417628	0.076860316	-25.3761335	4.63E-142	1.72E-138	Ank
ENSMUSG00000029471	5203.422297	-1.830203763	0.072792619	-25.14271078	1.70E-139	5.25E-136	Camkk2
ENSMUSG00000025809	2475.449704	2.148177197	0.094395617	22.75717089	1.22E-114	3.23E-111	Itgb1
ENSMUSG00000024269	1312.826227	-2.120125352	0.095783803	-22.13448722	1.47E-108	3.41E-105	Tpgs2
ENSMUSG00000060126	6186.366012	-1.600392378	0.073850898	-21.67058783	3.89E-104	8.02E-101	Tpt1
ENSMUSG00000031654	724.5420467	-2.618600758	0.120903303	-21.6586371	5.04E-104	9.35E-101	Cbln1
ENSMUSG00000050822	2070.758363	-1.898869521	0.094163261	-20.16571532	1.96E-90	3.31E-87	Slc29a4
ENSMUSG00000028051	959.1957881	-2.166240003	0.107704838	-20.11274555	5.71E-90	8.83E-87	Hcn3
ENSMUSG00000022594	1050.800752	-2.635802982	0.132437095	-19.90230143	3.89E-88	5.55E-85	Lynx1
ENSMUSG00000066551	3269.398513	-1.690202675	0.085423408	-19.78617698	3.92E-87	5.19E-84	Hmgb1
ENSMUSG00000006800	2507.445173	-1.634381575	0.082885613	-19.71851956	1.50E-86	1.85E-83	Sulf2
ENSMUSG00000037972	2642.436519	-1.621442513	0.082414788	-19.67416968	3.59E-86	4.16E-83	Snn
ENSMUSG00000025728	1777.080586	-1.887140789	0.098187502	-19.21976583	2.53E-82	2.76E-79	Pigq
ENSMUSG00000020396	906.5367269	-2.200357419	0.114641797	-19.19332634	4.21E-82	4.34E-79	Nefh
ENSMUSG00000024393	7290.285471	-1.579356813	0.082610823	-19.11803746	1.79E-81	1.75E-78	Prrc2a
ENSMUSG00000023050	2113.614759	-1.784717923	0.094335663	-18.91880411	7.98E-80	7.41E-77	Map3k12
ENSMUSG00000058443	1923.312491	-1.58035525	0.085173362	-18.55457167	7.49E-77	6.62E-74	Rpl10-ps3
ENSMUSG00000031393	2358.492416	-1.616480039	0.088555308	-18.25390332	1.93E-74	1.63E-71	Mecp2
ENSMUSG00000080885	1703.894895	-1.595932838	0.087810666	-18.17470363	8.19E-74	6.61E-71	Rpl10-ps6
ENSMUSG00000037824	994.8587861	-2.101406662	0.115998038	-18.11588109	2.39E-73	1.85E-70	Tspan14
ENSMUSG00000080859	1510.14941	-1.640891401	0.090935111	-18.04464064	8.69E-73	6.45E-70	Rpl10-ps1
ENSMUSG00000040711	1717.472417	-1.561457273	0.087826545	-17.77887622	1.03E-70	7.36E-68	Sh3pxd2b
ENSMUSG00000008682	4486.10566	-1.511220238	0.085040219	-17.7706532	1.19E-70	8.20E-68	Rpl10
ENSMUSG00000020190	1197.917196	1.892136948	0.107033591	17.67797314	6.20E-70	4.11E-67	Mknk2
ENSMUSG00000110679	1412.743915	-1.646901555	0.094365832	-17.45230799	3.31E-68	2.12E-65	Rpl10-ps5
ENSMUSG00000015134	751.2578787	-1.992336273	0.114175467	-17.44977551	3.46E-68	2.14E-65	Aldh1a3
ENSMUSG00000028082	786.0697502	-2.18119015	0.126722094	-17.21239039	2.14E-66	1.28E-63	Sh3d19
ENSMUSG00000028033	1543.679861	-1.682053393	0.099370769	-16.92704415	2.84E-64	1.60E-61	Kcnq5
ENSMUSG00000084319	1587.032192	-1.59784421	0.094389178	-16.92825646	2.79E-64	1.60E-61	Tpt1-ps3
ENSMUSG00000113625	1282.97826	-1.594466584	0.094423059	-16.88641105	5.66E-64	3.09E-61	Gm3379
ENSMUSG00000037331	2189.675228	-4.65589014	0.275791801	-16.88190191	6.11E-64	3.24E-61	Larp1
ENSMUSG00000021708	2544.861543	-1.478659289	0.087705517	-16.85936467	8.95E-64	4.62E-61	Rasgrf2
ENSMUSG00000028530	4899.75707	-1.388838067	0.084074183	-16.51919794	2.67E-61	1.34E-58	Jak1
ENSMUSG00000028030	624.8749506	-2.054153719	0.124710839	-16.47133263	5.90E-61	2.88E-58	Tbck
ENSMUSG00000041841	2455.089113	-1.658368701	0.100959864	-16.42601951	1.25E-60	5.93E-58	Rpl37
ENSMUSG00000036825	1501.178463	-1.616453054	0.098511197	-16.40882556	1.65E-60	7.67E-58	Ssx2ip
ENSMUSG00000001062	726.8817229	-1.827272616	0.111778924	-16.34720176	4.55E-60	2.06E-57	Vps9d1
ENSMUSG00000020823	3655.702007	-1.431096662	0.087770013	-16.30507524	9.08E-60	4.01E-57	Sec14l1
ENSMUSG00000000627	2958.481214	1.457027305	0.091613033	15.90414874	5.93E-57	2.56E-54	Sema4f
ENSMUSG00000026123	4607.219985	-1.253990152	0.078898052	-15.89380378	7.00E-57	2.95E-54	Plekhb2
ENSMUSG00000024754	1157.65549	1.604614373	0.100968504	15.89222685	7.17E-57	2.96E-54	Cemip2
ENSMUSG00000020431	27054.50715	-1.060807022	0.066883449	-15.86053105	1.19E-56	4.80E-54	Adcy1
ENSMUSG00000046079	1030.964539	-1.554662134	0.098278291	-15.81897805	2.30E-56	9.09E-54	Lrrc8d
ENSMUSG00000008475	3982.924099	-1.210437082	0.076599356	-15.80218346	3.01E-56	1.16E-53	Arpc5
ENSMUSG00000068373	3920.586371	-1.249538494	0.079187653	-15.77946109	4.31E-56	1.63E-53	D430041D05Rik
ENSMUSG00000030662	3578.312372	-1.20841605	0.077251967	-15.64252797	3.74E-55	1.39E-52	Ipo5
ENSMUSG00000029472	5145.579948	-1.153781493	0.074298614	-15.52897736	2.21E-54	8.04E-52	Anapc5
ENSMUSG00000028799	718.7457222	-1.917894329	0.124352308	-15.42306985	1.15E-53	4.09E-51	Zfp362
ENSMUSG00000035681	617.79209	-2.130769033	0.139133384	-15.31457783	6.11E-53	2.14E-50	Kcnc2
ENSMUSG00000004530	2535.504683	-1.342895787	0.088177384	-15.22948083	2.25E-52	7.75E-50	Coro1c
ENSMUSG00000039809	4544.099853	-1.111168685	0.073272795	-15.16481913	6.05E-52	2.04E-49	Gabbr2
ENSMUSG00000032324	6096.04768	1.077568037	0.071289646	15.11535132	1.28E-51	4.25E-49	Tspan3
ENSMUSG00000022054	2380.665534	-1.78969543	0.119066433	-15.03106618	4.60E-51	1.50E-48	Nefm
ENSMUSG00000000278	678.1718336	-1.829677584	0.122112855	-14.98349687	9.41E-51	3.01E-48	Scpep1
ENSMUSG00000014846	2320.354219	1.610455454	0.107572699	14.97085662	1.14E-50	3.58E-48	Tppp3
ENSMUSG00000042700	4480.028423	-1.174699833	0.078655687	-14.93470941	1.96E-50	6.06E-48	Sipa1l1
ENSMUSG00000033419	9133.755119	-1.129672627	0.075719883	-14.91910169	2.48E-50	7.53E-48	Snap91
ENSMUSG00000040265	2433.668288	-1.688783404	0.114318419	-14.7726273	2.20E-49	6.59E-47	Dnm3
ENSMUSG00000058546	3776.354548	-1.25132545	0.08482845	-14.75124744	3.02E-49	8.90E-47	Rpl23a
ENSMUSG00000038764	509.2788092	-2.0135825	0.136893532	-14.70911354	5.63E-49	1.63E-46	Ptpn3
