gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneName
ENSMUSG00000000184	16294.11084	4.189469459	0.072047908	58.14838475	0	0	Ccnd2
ENSMUSG00000004558	7431.453281	3.366603992	0.084148797	40.00774944	0	0	Ndrg2
ENSMUSG00000004891	7993.019745	5.51764109	0.109067029	50.58945083	0	0	Nes
ENSMUSG00000014313	10375.96337	3.59722259	0.077090602	46.66227163	0	0	Cox6c
ENSMUSG00000014602	260843.6391	4.505431432	0.096154145	46.8563414	0	0	Kif1a
ENSMUSG00000015222	119857.4685	3.717547021	0.087786493	42.3475971	0	0	Map2
ENSMUSG00000016427	2692.278609	3.619606145	0.090069686	40.18672991	0	0	Ndufa1
ENSMUSG00000018593	22125.70775	4.649409812	0.102980646	45.14838465	0	0	Sparc
ENSMUSG00000020326	8115.798153	4.291074418	0.107891671	39.77206373	0	0	Ccng1
ENSMUSG00000020684	13127.97854	4.108541121	0.082727587	49.66349503	0	0	Rasl10b
ENSMUSG00000020821	3981.615743	4.993029145	0.099669477	50.09586968	0	0	Kif1c
ENSMUSG00000021277	3972.930175	3.233566683	0.078764738	41.05348132	0	0	Traf3
ENSMUSG00000022623	13501.50262	3.980663103	0.092002946	43.26669159	0	0	Shank3
ENSMUSG00000024617	63270.23327	3.780089857	0.078619727	48.08067872	0	0	Camk2a
ENSMUSG00000024661	129423.2009	4.619114411	0.09133389	50.57393732	0	0	Fth1
ENSMUSG00000025241	2726.302834	6.385126574	0.131861217	48.42308249	0	0	Fyco1
ENSMUSG00000025813	5845.581939	3.53159569	0.082540072	42.78643822	0	0	Homer2
ENSMUSG00000026028	23716.61	4.936539285	0.100778972	48.98382255	0	0	Trak2
ENSMUSG00000026764	113051.2048	4.633629415	0.073400495	63.12804022	0	0	Kif5c
ENSMUSG00000027457	9030.207821	3.42121732	0.0750514	45.58498973	0	0	Snph
ENSMUSG00000027803	1618.437926	5.561101615	0.142751513	38.956516	0	0	Wwtr1
ENSMUSG00000028416	6013.54942	3.063844697	0.079259616	38.6558104	0	0	Bag1
ENSMUSG00000028639	43141.72029	3.874726123	0.057163585	67.78311958	0	0	Ybx1
ENSMUSG00000030701	2394.134861	4.487827077	0.104210445	43.06504094	0	0	Plekhb1
ENSMUSG00000031166	10002.46659	2.364969302	0.060861384	38.85828964	0	0	Wdr13
ENSMUSG00000031442	22741.11729	4.287491991	0.101596223	42.20129312	0	0	Mcf2l
ENSMUSG00000032518	67972.01338	4.549749536	0.070073876	64.92789861	0	0	Rpsa
ENSMUSG00000034892	10841.37922	3.913611923	0.101501029	38.55736203	0	0	Rps29
ENSMUSG00000036644	9187.036822	4.360545007	0.088576432	49.22917864	0	0	Tbc1d9b
ENSMUSG00000036751	15913.96079	3.471352935	0.091489176	37.94277171	0	0	Cox6b1
ENSMUSG00000037071	62034.03228	4.835418549	0.078846161	61.32725417	0	0	Scd1
ENSMUSG00000038143	10478.87212	3.843785238	0.080696607	47.63255109	0	0	Stox2
ENSMUSG00000038351	7130.346637	3.03895596	0.080963474	37.53490087	0	0	Sgsm2
ENSMUSG00000038587	2076.177986	3.761934894	0.100105574	37.57967441	0	0	Akap12
ENSMUSG00000038900	13081.57083	4.084186289	0.095590835	42.7257101	0	0	Rpl12
ENSMUSG00000039976	21923.7849	3.628737076	0.07592313	47.79488245	0	0	Tbc1d16
ENSMUSG00000041571	52271.04891	3.083663418	0.076913671	40.0925267	0	0	Selenow
ENSMUSG00000041670	7267.316735	2.980583011	0.074791539	39.85187414	0	0	Rims1
ENSMUSG00000041697	22576.98371	4.159942502	0.105129206	39.56980818	0	0	Cox6a1
ENSMUSG00000042156	4196.319858	3.677198754	0.085168212	43.17571841	0	0	Dzip1
ENSMUSG00000042978	20883.52892	3.198352401	0.073580919	43.46714394	0	0	Sbk1
ENSMUSG00000044533	49807.4341	4.781927917	0.091577878	52.21706392	0	0	Rps2
ENSMUSG00000045055	8623.576325	4.544488625	0.085897478	52.90596093	0	0	Rpsa-ps2
ENSMUSG00000046093	22306.36245	2.639589145	0.06947716	37.9921853	0	0	Hpcal4
ENSMUSG00000047676	8933.90609	4.530210812	0.087474906	51.78868996	0	0	Rpsa-ps10
ENSMUSG00000048240	27040.01753	3.724208723	0.07536181	49.41771842	0	0	Gng7
ENSMUSG00000049044	9470.683453	4.266779562	0.067894044	62.84468105	0	0	Rapgef4
ENSMUSG00000050708	77750.24038	4.36758349	0.088254042	49.48876462	0	0	Ftl1
ENSMUSG00000058542	10633.2077	4.314145245	0.070174626	61.47728203	0	0	Gm15590
ENSMUSG00000060126	7581.463011	3.099249949	0.067448838	45.9496421	0	0	Tpt1
