gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneName
ENSMUSG00000008682	5742.754086	-3.133530322	0.070804858	-44.2558665	0	0	Rpl10
ENSMUSG00000031320	9818.035189	-2.550981168	0.063185395	-40.3729562	0	0	Rps4x
ENSMUSG00000037742	57483.80774	-2.51155135	0.051916861	-48.37641037	0	0	Eef1a1
ENSMUSG00000041841	8497.812667	-2.594815176	0.068474959	-37.89436634	0	0	Rpl37
ENSMUSG00000060126	25202.11502	-2.276966908	0.054616759	-41.68989454	0	0	Tpt1
ENSMUSG00000082536	10125.72723	-2.468476144	0.066803329	-36.95139428	6.92E-299	2.21E-295	Gm13456
ENSMUSG00000071644	5845.799003	-2.423348079	0.065619512	-36.93029702	1.51E-298	4.12E-295	Eef1g
ENSMUSG00000049517	8870.803408	-2.300494033	0.062843556	-36.6066816	2.24E-293	5.35E-290	Rps23
ENSMUSG00000058546	13846.47824	-2.159673818	0.059184232	-36.49069607	1.56E-291	3.31E-288	Rpl23a
ENSMUSG00000029614	4663.11847	-2.4996802	0.068613984	-36.43106045	1.37E-290	2.63E-287	Rpl6
ENSMUSG00000024608	7424.889561	-2.657892897	0.073980255	-35.92705785	1.16E-282	2.01E-279	Rps14
ENSMUSG00000100078	5672.628428	-2.435015373	0.068729133	-35.42915895	6.07E-275	9.68E-272	Gm6170
ENSMUSG00000062328	10825.1556	-2.417127625	0.06834675	-35.36565545	5.76E-274	8.48E-271	Rpl17
ENSMUSG00000020372	4597.699436	-2.530160848	0.071647636	-35.3139475	3.59E-273	4.90E-270	Rack1
ENSMUSG00000084319	6242.107968	-2.394117375	0.069538898	-34.42846298	9.46E-260	1.21E-256	Tpt1-ps3
ENSMUSG00000034994	16777.23278	-2.470051374	0.072242968	-34.19089004	3.30E-256	3.95E-253	Eef2
ENSMUSG00000078126	5481.746658	-2.168069444	0.064254767	-33.74176788	1.41E-249	1.59E-246	Rpl23a-ps3
ENSMUSG00000060938	12050.32378	-2.178085543	0.064992691	-33.51277693	3.14E-246	3.34E-243	Rpl26
ENSMUSG00000030744	10736.57395	-1.855161189	0.055514384	-33.41766691	7.59E-245	7.64E-242	Rps3
