gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000000001,7,0,0,Not significant
ENSMUSG00000000028,5,2,0,Not significant
ENSMUSG00000000031,4,1,0,Not significant
ENSMUSG00000000037,7,0,0,Not significant
ENSMUSG00000000049,3,0,0,Not significant
ENSMUSG00000000056,6,0,1,Not significant
ENSMUSG00000000058,4,1,0,Not significant
ENSMUSG00000000078,7,0,0,Not significant
ENSMUSG00000000085,2,5,0,m6A depleted
ENSMUSG00000000088,1,6,0,m6A depleted
ENSMUSG00000000093,7,0,0,Not significant
ENSMUSG00000000094,5,0,0,Not significant
ENSMUSG00000000120,3,0,4,m6A enriched
ENSMUSG00000000125,6,0,1,Not significant
ENSMUSG00000000126,7,0,0,Not significant
ENSMUSG00000000127,1,4,2,m6A depleted
ENSMUSG00000000131,7,0,0,Not significant
ENSMUSG00000000134,5,2,0,Not significant
ENSMUSG00000000142,3,0,4,m6A enriched
ENSMUSG00000000148,7,0,0,Not significant
ENSMUSG00000000149,2,0,5,m6A enriched
ENSMUSG00000000154,5,0,0,Not significant
ENSMUSG00000000157,1,0,0,Not significant
ENSMUSG00000000159,3,0,0,Not significant
ENSMUSG00000000167,7,0,0,Not significant
ENSMUSG00000000168,3,4,0,m6A depleted
ENSMUSG00000000171,3,4,0,m6A depleted
ENSMUSG00000000182,3,0,0,Not significant
ENSMUSG00000000184,7,0,0,Not significant
ENSMUSG00000000194,7,0,0,Not significant
ENSMUSG00000000197,4,3,0,m6A depleted
ENSMUSG00000000202,3,0,4,m6A enriched
ENSMUSG00000000204,1,0,0,Not significant
ENSMUSG00000000214,3,4,0,m6A depleted
ENSMUSG00000000215,3,0,0,Not significant
ENSMUSG00000000216,5,0,0,Not significant
ENSMUSG00000000223,4,3,0,m6A depleted
ENSMUSG00000000244,5,0,0,Not significant
ENSMUSG00000000247,4,0,3,m6A enriched
ENSMUSG00000000253,7,0,0,Not significant
ENSMUSG00000000263,7,0,0,Not significant
ENSMUSG00000000266,7,0,0,Not significant
ENSMUSG00000000275,7,0,0,Not significant
ENSMUSG00000000276,5,0,2,Not significant
ENSMUSG00000000278,3,4,0,m6A depleted
ENSMUSG00000000282,3,4,0,m6A depleted
ENSMUSG00000000290,4,1,0,Not significant
ENSMUSG00000000295,7,0,0,Not significant
ENSMUSG00000000296,7,0,0,Not significant
ENSMUSG00000000301,7,0,0,Not significant
ENSMUSG00000000303,7,0,0,Not significant
ENSMUSG00000000305,5,0,2,Not significant
ENSMUSG00000000308,2,5,0,m6A depleted
ENSMUSG00000000317,7,0,0,Not significant
ENSMUSG00000000318,3,0,0,Not significant
ENSMUSG00000000320,7,0,0,Not significant
ENSMUSG00000000325,7,0,0,Not significant
ENSMUSG00000000326,5,2,0,Not significant
ENSMUSG00000000339,7,0,0,Not significant
ENSMUSG00000000340,6,0,1,Not significant
ENSMUSG00000000346,1,6,0,m6A depleted
ENSMUSG00000000355,3,4,0,m6A depleted
ENSMUSG00000000359,7,0,0,Not significant
ENSMUSG00000000365,7,0,0,Not significant
ENSMUSG00000000374,6,0,1,Not significant
ENSMUSG00000000378,4,0,3,m6A enriched
ENSMUSG00000000384,6,1,0,Not significant
ENSMUSG00000000385,4,1,0,Not significant
ENSMUSG00000000386,5,0,0,Not significant
ENSMUSG00000000392,3,0,0,Not significant
ENSMUSG00000000394,1,0,0,Not significant
ENSMUSG00000000399,1,6,0,m6A depleted
ENSMUSG00000000402,7,0,0,Not significant
ENSMUSG00000000409,7,0,0,Not significant
ENSMUSG00000000411,3,0,0,Not significant
ENSMUSG00000000416,6,0,1,Not significant
ENSMUSG00000000420,5,0,2,Not significant
ENSMUSG00000000435,2,0,0,Not significant
ENSMUSG00000000439,7,0,0,Not significant
ENSMUSG00000000440,6,1,0,Not significant
ENSMUSG00000000441,7,0,0,Not significant
ENSMUSG00000000486,5,0,2,Not significant
ENSMUSG00000000489,5,0,2,Not significant
ENSMUSG00000000530,7,0,0,Not significant
ENSMUSG00000000531,6,1,0,Not significant
ENSMUSG00000000532,7,0,0,Not significant
ENSMUSG00000000538,7,0,0,Not significant
ENSMUSG00000000544,4,0,0,Not significant
ENSMUSG00000000552,5,2,0,Not significant
ENSMUSG00000000555,6,0,1,Not significant
ENSMUSG00000000560,5,2,0,Not significant
ENSMUSG00000000561,5,2,0,Not significant
ENSMUSG00000000562,1,0,2,Not significant
ENSMUSG00000000563,3,4,0,m6A depleted
ENSMUSG00000000567,4,0,3,m6A enriched
ENSMUSG00000000568,4,3,0,m6A depleted
ENSMUSG00000000579,7,0,0,Not significant
ENSMUSG00000000581,5,2,0,Not significant
ENSMUSG00000000594,4,3,0,m6A depleted
ENSMUSG00000000600,4,2,1,Not significant
ENSMUSG00000000605,5,0,2,Not significant
ENSMUSG00000000617,1,0,0,Not significant
ENSMUSG00000000627,6,0,1,Not significant
ENSMUSG00000000628,7,0,0,Not significant
ENSMUSG00000000631,6,0,1,Not significant
ENSMUSG00000000632,7,0,0,Not significant
ENSMUSG00000000673,7,0,0,Not significant
ENSMUSG00000000682,3,0,0,Not significant
ENSMUSG00000000686,5,0,2,Not significant
ENSMUSG00000000693,6,0,1,Not significant
ENSMUSG00000000706,5,0,0,Not significant
ENSMUSG00000000708,2,5,0,m6A depleted
ENSMUSG00000000711,5,2,0,Not significant
ENSMUSG00000000724,6,0,0,Not significant
ENSMUSG00000000730,6,1,0,Not significant
ENSMUSG00000000731,5,0,0,Not significant
ENSMUSG00000000732,3,0,4,m6A enriched
ENSMUSG00000000738,3,4,0,m6A depleted
ENSMUSG00000000739,7,0,0,Not significant
ENSMUSG00000000740,2,5,0,m6A depleted
ENSMUSG00000000743,7,0,0,Not significant
ENSMUSG00000000751,7,0,0,Not significant
ENSMUSG00000000753,5,2,0,Not significant
ENSMUSG00000000759,2,5,0,m6A depleted
ENSMUSG00000000766,4,0,3,m6A enriched
ENSMUSG00000000776,7,0,0,Not significant
ENSMUSG00000000782,7,0,0,Not significant
ENSMUSG00000000787,4,3,0,m6A depleted
ENSMUSG00000000791,5,0,0,Not significant
ENSMUSG00000000792,6,0,1,Not significant
ENSMUSG00000000794,6,0,1,Not significant
ENSMUSG00000000804,6,0,1,Not significant
ENSMUSG00000000805,6,1,0,Not significant
ENSMUSG00000000811,5,2,0,Not significant
ENSMUSG00000000817,7,0,0,Not significant
ENSMUSG00000000823,7,0,0,Not significant
ENSMUSG00000000826,4,3,0,m6A depleted
ENSMUSG00000000827,7,0,0,Not significant
ENSMUSG00000000838,5,2,0,Not significant
ENSMUSG00000000861,5,0,2,Not significant
ENSMUSG00000000869,2,0,0,Not significant
ENSMUSG00000000876,5,0,2,Not significant
ENSMUSG00000000881,7,0,0,Not significant
ENSMUSG00000000884,4,0,3,m6A enriched
ENSMUSG00000000889,7,0,0,Not significant
ENSMUSG00000000901,6,1,0,Not significant
ENSMUSG00000000902,3,4,0,m6A depleted
ENSMUSG00000000903,2,0,0,Not significant
ENSMUSG00000000915,7,0,0,Not significant
ENSMUSG00000000916,3,4,0,m6A depleted
ENSMUSG00000000934,5,2,0,Not significant
ENSMUSG00000000938,4,0,0,Not significant
ENSMUSG00000000942,3,0,2,Not significant
ENSMUSG00000000948,3,4,0,m6A depleted
ENSMUSG00000000957,7,0,0,Not significant
ENSMUSG00000000958,5,2,0,Not significant
