count,id,shRNA,area,smFISH_per_area
89,ActB_Puro_Map2_scr15,ctrl,1592.9277,0.05587196455934566
47,ActB_Puro_Map2_scr14,ctrl,827.0924,0.056825573539304675
87,ActB_Puro_Map2_scr16,ctrl,1352.903,0.06430616237823407
82,ActB_Puro_Map2_scr17,ctrl,1420.6168,0.05772140664533884
15,ActB_Puro_Map2_scr19_1,ctrl,458.5004,0.032715347685629066
58,ActB_Puro_Map2_scr13,ctrl,1406.8965,0.041225491711721504
69,ActB_Puro_Map2_scr12,ctrl,1604.3882,0.04300704779553975
40,ActB_Puro_Map2_scr9,ctrl,1014.3343,0.03943473073916558
14,ActB_Puro_Map2_scr19_2,ctrl,258.991,0.054055932445529
82,ActB_Puro_Map2_scr10,ctrl,1566.7784,0.052336692923517454
18,ActB_Puro_Map2_larp9_1,shLarp,562.2532,0.03201404634068779
46,ActB_Puro_Map2_scr11,ctrl,842.1848,0.05461984115600282
100,ActB_Puro_Map2_scr8,ctrl,1643.8542,0.06083264562027459
16,ActB_Puro_Map2_larp15,shLarp,458.2922,0.03491222412251398
33,ActB_Puro_Map2_larp28,shLarp,1341.7124,0.02459543490840511
26,ActB_Puro_Map2_scr21_1,ctrl,436.7093,0.059536172002748744
46,ActB_Puro_Map2_larp14,shLarp,859.7385,0.0535046412368412
25,ActB_Puro_Map2_larp16,shLarp,1223.2048,0.02043811469673762
35,ActB_Puro_Map2_larp17,shLarp,1477.1,0.023695078193758042
34,ActB_Puro_Map2_larp25_1,shLarp,1158.4154,0.029350438538714177
22,ActB_Puro_Map2_larp8,shLarp,1377.8058,0.015967417178821573
24,ActB_Puro_Map2_larp13,shLarp,704.7403,0.03405509802689018
48,ActB_Puro_Map2_larp12,shLarp,1235.7655,0.038842320812484246
54,ActB_Puro_Map2_larp9,shLarp,1520.2929,0.03551947128083016
17,ActB_Puro_Map2_larp10,shLarp,500.7901,0.03394635796514348
23,ActB_Puro_Map2_larp11,shLarp,897.5199,0.025626172745584805
30,ActB_Puro_Map2_scr5_2,ctrl,792.5495,0.0378525252996816
13,ActB_Puro_Map2_larp20,shLarp,913.4567,0.014231654330194306
57,ActB_Puro_Map2_larp7,shLarp,1456.0496,0.039147018068615244
47,ActB_Puro_Map2_larp6,shLarp,907.6976,0.05177935911695702
59,ActB_Puro_Map2_scr14_1,ctrl,880.4402,0.0670119333487953
18,ActB_Puro_Map2_larp21,shLarp,1401.835,0.012840312875623736
40,ActB_Puro_Map2_scr5_3,ctrl,942.9079,0.0424219587087986
13,ActB_Puro_Map2_larp14_2,shLarp,398.3185,0.03263719862371444
49,ActB_Puro_Map2_scr5_1,ctrl,1050.4913,0.04664484132329321
35,ActB_Puro_Map2_scr16_1,ctrl,650.9075,0.05377108114440224
28,ActB_Puro_Map2_larp4,shLarp,894.5411,0.03130096537766683
43,ActB_Puro_Map2_larp23,shLarp,1427.8501,0.03011520607100143
38,ActB_Puro_Map2_larp22,shLarp,805.226,0.04719172008852173
