gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneName
ENSMUSG00000000184	19017.47706	3.952620161	0.084108174	46.99448296	0	0	Ccnd2
ENSMUSG00000000740	13198.55608	3.067283374	0.067797756	45.24166488	0	0	Rpl13
ENSMUSG00000003429	10537.23693	2.878101835	0.068286229	42.14761726	0	0	Rps11
ENSMUSG00000003863	14673.04061	3.740741428	0.060236191	62.10122831	0	0	Ppfia3
ENSMUSG00000004558	7038.951307	2.821756135	0.067174444	42.00639387	0	0	Ndrg2
ENSMUSG00000004891	7619.522211	4.880232835	0.07577102	64.40764371	0	0	Nes
ENSMUSG00000005871	271195.4119	6.047800493	0.062533656	96.71272906	0	0	Apc
ENSMUSG00000006333	10155.35414	2.694548295	0.055938617	48.16973355	0	0	Rps9
ENSMUSG00000006435	5799.148625	3.144754828	0.073695857	42.67207083	0	0	Neurl1a
ENSMUSG00000006476	36429.43541	2.663171156	0.053678878	49.6130179	0	0	Nsmf
ENSMUSG00000006740	13995.66679	4.006135772	0.082832866	48.36408508	0	0	Kif5b
ENSMUSG00000006932	20708.10369	2.468877215	0.059431606	41.54148548	0	0	Ctnnb1
ENSMUSG00000007892	35714.26164	3.95947868	0.07862314	50.3602205	0	0	Rplp1
ENSMUSG00000008668	14968.93605	3.031185565	0.065089119	46.56977374	0	0	Rps18
ENSMUSG00000008682	12003.15736	2.270204077	0.058589877	38.74737773	0	0	Rpl10
ENSMUSG00000008683	7756.970921	2.594427528	0.064514665	40.21453946	0	0	Rps15a
ENSMUSG00000009927	10060.83054	2.746173918	0.068783262	39.92503192	0	0	Rps25
ENSMUSG00000012848	12246.97983	3.065088552	0.068239926	44.91635226	0	0	Rps5
ENSMUSG00000014313	13414.55553	3.436926912	0.07323932	46.9273463	0	0	Cox6c
ENSMUSG00000014602	327049.3478	4.776997785	0.048212573	99.08199227	0	0	Kif1a
ENSMUSG00000015222	124166.8976	3.766413164	0.069823723	53.94174109	0	0	Map2
ENSMUSG00000016427	3590.008813	3.401090976	0.07890835	43.10178819	0	0	Ndufa1
ENSMUSG00000017404	10892.54923	2.59506153	0.063143763	41.09766988	0	0	Rpl19
ENSMUSG00000017778	11590.66169	3.381438145	0.052614394	64.26830915	0	0	Cox7c
ENSMUSG00000018474	30092.04754	1.992750226	0.052967664	37.62201438	0	0	Chd3
ENSMUSG00000018593	14474.12714	3.54384169	0.091106324	38.897867	0	0	Sparc
ENSMUSG00000020135	16817.82999	2.724169326	0.066588226	40.91067586	0	0	Apc2
ENSMUSG00000020163	7821.733912	2.902802689	0.065372814	44.40382064	0	0	Uqcr11
ENSMUSG00000020181	7453.513812	2.577663163	0.068294143	37.7435464	0	0	Nav3
ENSMUSG00000020460	11731.49641	2.946115914	0.059713265	49.33771238	0	0	Rps27a
ENSMUSG00000020684	18858.60545	3.850745237	0.064920919	59.31439774	0	0	Rasl10b
ENSMUSG00000020821	3601.979584	4.497852021	0.097825482	45.97832715	0	0	Kif1c
ENSMUSG00000021277	5347.468322	3.156334339	0.06530703	48.33069808	0	0	Traf3
ENSMUSG00000021290	6497.259673	3.128235985	0.072942377	42.88640059	0	0	Atp5mpl
ENSMUSG00000022283	19908.38278	3.105953673	0.059587643	52.12412365	0	0	Pabpc1
ENSMUSG00000022354	4708.401395	3.528896195	0.066419338	53.13055338	0	0	Ndufb9
ENSMUSG00000022477	20147.48892	2.639794974	0.063587101	41.51463016	0	0	Aco2
ENSMUSG00000022623	9199.2535	3.419556559	0.073240617	46.6893465	0	0	Shank3
ENSMUSG00000024248	7383.229188	2.454601123	0.054755153	44.82867839	0	0	Cox7a2l
ENSMUSG00000024524	22797.16855	2.97910549	0.054458848	54.70379195	0	0	Gnal
ENSMUSG00000024608	13878.63222	3.025517886	0.062438454	48.45600286	0	0	Rps14
ENSMUSG00000024617	52361.58057	3.717111227	0.067321157	55.21460701	0	0	Camk2a
ENSMUSG00000024661	174701.6178	4.341545354	0.05467227	79.41037328	0	0	Fth1
ENSMUSG00000025241	2521.779718	5.990257884	0.126511906	47.34936095	0	0	Fyco1
ENSMUSG00000025290	29448.823	3.70640157	0.071302992	51.98101067	0	0	Rps24
ENSMUSG00000025362	9918.820441	3.041143513	0.067225783	45.23775495	0	0	Rps26
ENSMUSG00000025794	9399.566334	2.51543824	0.062081581	40.51826978	0	0	Rpl14
ENSMUSG00000025813	5706.011559	3.244489669	0.068890928	47.09603694	0	0	Homer2
ENSMUSG00000025867	22424.6369	1.915871809	0.048730977	39.31527598	0	0	Cplx2
ENSMUSG00000025967	13179.97404	3.244138609	0.061517854	52.73491181	0	0	Eef1b2
ENSMUSG00000026028	12532.86608	3.569474491	0.070374442	50.72117624	0	0	Trak2
ENSMUSG00000026667	16774.88824	2.131175296	0.055294232	38.54245248	0	0	Uhmk1
ENSMUSG00000026764	131398.7467	4.334750824	0.040937197	105.8878271	0	0	Kif5c
ENSMUSG00000027223	15946.15238	2.167274123	0.054766855	39.57273288	0	0	Mapk8ip1
ENSMUSG00000027457	13215.61179	3.361003619	0.08114764	41.41837793	0	0	Snph
ENSMUSG00000028081	15016.01061	2.639164073	0.062898146	41.95932984	0	0	Rps3a1
ENSMUSG00000028234	17972.76711	3.993281477	0.062033991	64.37247369	0	0	Rps20
ENSMUSG00000028416	7412.628268	2.862576521	0.068428969	41.8328166	0	0	Bag1
ENSMUSG00000028495	11009.70339	2.266844225	0.058426935	38.79793136	0	0	Rps6
ENSMUSG00000028639	70267.81824	3.972138482	0.051611152	76.96279502	0	0	Ybx1
ENSMUSG00000028936	5810.643275	2.139414852	0.055355102	38.64891906	0	0	Rpl22
ENSMUSG00000029632	14824.43257	2.788355871	0.0496321	56.18049353	0	0	Ndufa4
ENSMUSG00000030432	9896.548989	2.986820037	0.078765992	37.92017309	0	0	Rpl28
ENSMUSG00000030744	18503.27499	2.830593251	0.055354574	51.13567006	0	0	Rps3
