gene_id,gene_name,gene_biotype,description,transcript_id,chrom,start,end,strand,TPU.length,ARE.cts
ENSMUSG00000051951,Xkr4,protein_coding,X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744],ENSMUST00000070533,1,3214482,3216021,-,1540,1
ENSMUSG00000025900,Rp1,protein_coding,retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105],ENSMUST00000027032,1,4344146,4344599,-,454,4
ENSMUSG00000025902,Sox17,protein_coding,SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543],ENSMUST00000027035,1,4490931,4491715,-,785,4
ENSMUSG00000033845,Mrpl15,protein_coding,mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639],ENSMUST00000156816,1,4773211,4776463,-,3253,2
ENSMUSG00000025903,Lypla1,protein_coding,lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588],ENSMUST00000027036,1,4845017,4846739,+,1723,12
ENSMUSG00000033813,Tcea1,protein_coding,transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624],ENSMUST00000165720,1,4896365,4897909,+,1545,6
ENSMUSG00000002459,Rgs20,protein_coding,regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866],ENSMUST00000002533,1,4909576,4910473,-,898,5
ENSMUSG00000033793,Atp6v1h,protein_coding,"ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]",ENSMUST00000044369,1,5162166,5162529,+,364,3
ENSMUSG00000025905,Oprk1,protein_coding,"opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]",ENSMUST00000160777,1,5602785,5606131,+,3347,12
ENSMUSG00000033774,Npbwr1,protein_coding,neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989],ENSMUST00000044180,1,5913707,5916303,-,2597,5
ENSMUSG00000025907,Rb1cc1,protein_coding,RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850],ENSMUST00000027040,1,6274276,6276648,+,2373,14
ENSMUSG00000087247,Alkal1,protein_coding,ALK and LTK ligand 1 [Source:MGI Symbol;Acc:MGI:3645495],ENSMUST00000133144,1,6394270,6394731,+,462,8
ENSMUSG00000033740,St18,protein_coding,suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700],ENSMUST00000131494,1,6858601,6860940,+,2340,23
ENSMUSG00000051285,Pcmtd1,protein_coding,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773],ENSMUST00000061280,1,7169883,7173628,+,3746,23
ENSMUSG00000025909,Sntg1,protein_coding,"syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]",ENSMUST00000132064,1,8361475,8363474,-,2000,5
ENSMUSG00000061024,Rrs1,protein_coding,ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721],ENSMUST00000072079,1,9546622,9547455,+,834,2
ENSMUSG00000025911,Adhfe1,protein_coding,"alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]",ENSMUST00000144177,1,9576275,9577970,+,1696,10
ENSMUSG00000067879,Vxn,protein_coding,vexin [Source:MGI Symbol;Acc:MGI:1924232],ENSMUST00000088666,1,9624897,9627143,+,2247,12
ENSMUSG00000025912,Mybl1,protein_coding,myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925],ENSMUST00000088658,1,9667415,9669883,-,2469,18
ENSMUSG00000045210,Vcpip1,protein_coding,valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925],ENSMUST00000057438,1,9718622,9724481,-,5860,33
ENSMUSG00000025915,Sgk3,protein_coding,serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368],ENSMUST00000168907,1,9898891,9900845,+,1955,12
ENSMUSG00000046101,Mcmdc2,protein_coding,minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334],ENSMUST00000052843,1,9920841,9922525,+,1685,3
ENSMUSG00000099032,Tcf24,protein_coding,transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500],ENSMUST00000185184,1,9960163,9963407,-,3245,16
ENSMUSG00000025916,Ppp1r42,protein_coding,"protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]",ENSMUST00000147000,1,9968624,9968917,-,294,1
ENSMUSG00000025917,Cops5,protein_coding,COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415],ENSMUST00000027050,1,10024601,10024978,-,378,1
ENSMUSG00000056763,Cspp1,protein_coding,centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832],ENSMUST00000122156,1,10066876,10068333,+,1458,14
ENSMUSG00000067851,Arfgef1,protein_coding,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988],ENSMUST00000088615,1,10137571,10138831,-,1261,4
ENSMUSG00000042501,Cpa6,protein_coding,carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348],ENSMUST00000035577,1,10324727,10325123,-,397,0
ENSMUSG00000048960,Prex2,protein_coding,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]",ENSMUST00000027056,1,11297754,11303681,+,5928,33
ENSMUSG00000057715,A830018L16Rik,protein_coding,RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149],ENSMUST00000135014,1,11596335,11601621,+,5287,23
ENSMUSG00000016918,Sulf1,protein_coding,sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563],ENSMUST00000177608,1,12858843,12861192,+,2350,5
ENSMUSG00000025938,Slco5a1,protein_coding,"solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]",ENSMUST00000188454,1,12866549,12871867,-,5319,13
ENSMUSG00000042414,Prdm14,protein_coding,PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194],ENSMUST00000047577,1,13113457,13114259,-,803,0
ENSMUSG00000005886,Ncoa2,protein_coding,nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533],ENSMUST00000081713,1,13139105,13142760,-,3656,20
ENSMUSG00000025935,Tram1,protein_coding,translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515],ENSMUST00000027068,1,13564698,13566322,-,1625,6
ENSMUSG00000025937,Lactb2,protein_coding,"lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]",ENSMUST00000027071,1,13623330,13626860,-,3531,11
ENSMUSG00000067813,Xkr9,protein_coding,X-linked Kx blood group related 9 [Source:MGI Symbol;Acc:MGI:2686466],ENSMUST00000088542,1,13701384,13701723,+,340,1
ENSMUSG00000025932,Eya1,protein_coding,EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344],ENSMUST00000027066,1,14168954,14170915,-,1962,7
ENSMUSG00000025930,Msc,protein_coding,musculin [Source:MGI Symbol;Acc:MGI:1333884],ENSMUST00000027062,1,14753346,14754238,-,893,1
ENSMUSG00000032769,Trpa1,protein_coding,"transient receptor potential cation channel, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:3522699]",ENSMUST00000041447,1,14872648,14873505,-,858,1
ENSMUSG00000092083,Kcnb2,protein_coding,"potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]",ENSMUST00000170146,1,15711630,15723750,+,12121,60
ENSMUSG00000025925,Terf1,protein_coding,telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634],ENSMUST00000188371,1,15843083,15844052,+,970,5
ENSMUSG00000032719,Sbspon,protein_coding,"somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]",ENSMUST00000040695,1,15853862,15855744,-,1883,9
ENSMUSG00000067795,4930444P10Rik,protein_coding,RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049],ENSMUST00000115367,1,16065979,16066125,-,147,1
ENSMUSG00000043716,Rpl7,protein_coding,ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073],ENSMUST00000058437,1,16101295,16101359,-,65,0
ENSMUSG00000025921,Rdh10,protein_coding,retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238],ENSMUST00000027053,1,16131418,16133734,+,2317,5
ENSMUSG00000025920,Stau2,protein_coding,staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508],ENSMUST00000159558,1,16343407,16345697,-,2291,11
ENSMUSG00000025939,Ube2w,protein_coding,ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049],ENSMUST00000117146,1,16569782,16571268,-,1487,9
ENSMUSG00000079658,Eloc,protein_coding,elongin C [Source:MGI Symbol;Acc:MGI:1915173],ENSMUST00000188641,1,16641725,16643287,-,1563,3
ENSMUSG00000025940,Tmem70,protein_coding,transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068],ENSMUST00000065373,1,16677426,16678275,+,850,3
ENSMUSG00000025779,Ly96,protein_coding,lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909],ENSMUST00000026881,1,16709538,16709611,+,74,0
ENSMUSG00000042686,Jph1,protein_coding,junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495],ENSMUST00000038382,1,16994938,16997478,-,2541,20
ENSMUSG00000025777,Gdap1,protein_coding,ganglioside-induced differentiation-associated-protein 1 [Source:MGI Symbol;Acc:MGI:1338002],ENSMUST00000026879,1,17161510,17164271,+,2762,7
ENSMUSG00000067780,Pi15,protein_coding,peptidase inhibitor 15 [Source:MGI Symbol;Acc:MGI:1934659],ENSMUST00000088476,1,17624971,17630939,+,5969,34
ENSMUSG00000025776,Crispld1,protein_coding,cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666],ENSMUST00000095075,1,17764115,17766344,+,2230,10
ENSMUSG00000025774,Crisp4,protein_coding,cysteine-rich secretory protein 4 [Source:MGI Symbol;Acc:MGI:1925331],ENSMUST00000026876,1,18115191,18115628,-,438,4
ENSMUSG00000067773,Defb41,protein_coding,defensin beta 41 [Source:MGI Symbol;Acc:MGI:1924923],ENSMUST00000088463,1,18250980,18251199,-,220,0
ENSMUSG00000042596,Tfap2d,protein_coding,"transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]",ENSMUST00000037294,1,19166179,19166346,+,168,0
ENSMUSG00000025927,Tfap2b,protein_coding,transcription factor AP-2 beta [Source:MGI Symbol;Acc:MGI:104672],ENSMUST00000027059,1,19234348,19238576,+,4229,17
ENSMUSG00000043760,Pkhd1,protein_coding,polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808],ENSMUST00000088448,1,20057779,20058297,-,519,2
ENSMUSG00000025929,Il17a,protein_coding,interleukin 17A [Source:MGI Symbol;Acc:MGI:107364],ENSMUST00000027061,1,20733860,20734496,+,637,10
ENSMUSG00000041872,Il17f,protein_coding,interleukin 17F [Source:MGI Symbol;Acc:MGI:2676631],ENSMUST00000039046,1,20777146,20777766,-,621,4
ENSMUSG00000041859,Mcm3,protein_coding,minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845],ENSMUST00000053266,1,20802968,20803455,-,488,2
ENSMUSG00000025931,Paqr8,protein_coding,progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479],ENSMUST00000189400,1,20935689,20939650,+,3962,9
ENSMUSG00000041809,Efhc1,protein_coding,EF-hand domain (C-terminal) containing 1 [Source:MGI Symbol;Acc:MGI:1919127],ENSMUST00000038447,1,20990689,20990841,+,153,0
ENSMUSG00000041779,Tram2,protein_coding,translocating chain-associating membrane protein 2 [Source:MGI Symbol;Acc:MGI:1924817],ENSMUST00000037998,1,20996299,21001561,-,5263,4
ENSMUSG00000025933,Tmem14a,protein_coding,transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962],ENSMUST00000027064,1,21229586,21230164,+,579,6
ENSMUSG00000025934,Gsta3,protein_coding,"glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]",ENSMUST00000027067,1,21264963,21265661,+,699,1
ENSMUSG00000067750,Khdc1a,protein_coding,KH domain containing 1A [Source:MGI Symbol;Acc:MGI:2676610],ENSMUST00000088407,1,21351094,21352200,+,1107,5
