organism,gene_name,tAI
R. norvegicus,1700020D05Rik,0.222760388
R. norvegicus,1700020N01Rik,0.192773263
R. norvegicus,1700042G07Rik,0.235680116
R. norvegicus,1700066B19Rik,0.21417569
R. norvegicus,1700092M07Rik,0.227611175
R. norvegicus,1700123L14Rik,0.233801124
R. norvegicus,2310050C09Rik,0.286394165
R. norvegicus,3110082J24Rik,0.228067848
R. norvegicus,4930444P10Rik,0.219579296
R. norvegicus,4933400A11Rik,0.203330145
R. norvegicus,4933403O08Rik,0.226342602
R. norvegicus,4933408B17Rik,0.23253009
R. norvegicus,4933416C03Rik,0.228003147
R. norvegicus,5330417C22Rik,0.237105412
R. norvegicus,A1bg,0.234179999
R. norvegicus,A1cf,0.219298988
R. norvegicus,A2m,0.218865506
R. norvegicus,A2ml1,0.208171247
R. norvegicus,A3galt2,0.229760099
R. norvegicus,A4galt,0.229334049
R. norvegicus,A4gnt,0.209262429
R. norvegicus,AABR07000089.1,0.211533383
R. norvegicus,AABR07000137.1,0.221568595
R. norvegicus,AABR07000147.1,0.226813392
R. norvegicus,AABR07000156.1,0.208841001
R. norvegicus,AABR07000158.1,0.215760895
R. norvegicus,AABR07000159.2,0.234837314
R. norvegicus,AABR07000159.4,0.228263115
R. norvegicus,AABR07000261.1,0.202324902
R. norvegicus,AABR07000276.1,0.228127505
R. norvegicus,AABR07000385.1,0.193218338
R. norvegicus,AABR07000398.1,0.229467373
R. norvegicus,AABR07000534.1,0.195945134
R. norvegicus,AABR07000581.1,0.225295068
R. norvegicus,AABR07000583.1,0.223421735
R. norvegicus,AABR07000595.1,0.220781637
R. norvegicus,AABR07000629.1,0.25546713
R. norvegicus,AABR07000663.1,0.211783886
R. norvegicus,AABR07000733.1,0.232885843
R. norvegicus,AABR07000738.1,0.250343634
R. norvegicus,AABR07000740.1,0.237667956
R. norvegicus,AABR07000740.2,0.233810664
R. norvegicus,AABR07000747.1,0.2565329
R. norvegicus,AABR07000902.1,0.252283938
R. norvegicus,AABR07000989.1,0.23807142
R. norvegicus,AABR07001099.1,0.188741592
R. norvegicus,AABR07001099.2,0.237656692
R. norvegicus,AABR07001100.1,0.219338962
R. norvegicus,AABR07001160.1,0.216332135
R. norvegicus,AABR07001348.1,0.230699478
R. norvegicus,AABR07001408.1,0.184406213
R. norvegicus,AABR07001416.1,0.241334276
R. norvegicus,AABR07001512.1,0.206153116
R. norvegicus,AABR07001516.1,0.250394192
R. norvegicus,AABR07001519.1,0.250130284
R. norvegicus,AABR07001573.1,0.257047922
R. norvegicus,AABR07001592.2,0.229293303
R. norvegicus,AABR07001896.1,0.192982526
R. norvegicus,AABR07001902.1,0.237809616
R. norvegicus,AABR07001905.1,0.179226443
R. norvegicus,AABR07001905.2,0.18048029
R. norvegicus,AABR07001910.1,0.170883657
R. norvegicus,AABR07001923.1,0.176408031
R. norvegicus,AABR07001926.1,0.167772571
R. norvegicus,AABR07001926.3,0.182548851
R. norvegicus,AABR07001967.1,0.213985367
R. norvegicus,AABR07002001.1,0.218445269
R. norvegicus,AABR07002025.1,0.254070467
R. norvegicus,AABR07002065.1,0.264567094
R. norvegicus,AABR07002065.2,0.26453329
R. norvegicus,AABR07002068.1,0.193552005
R. norvegicus,AABR07002071.1,0.264958114
R. norvegicus,AABR07002093.1,0.19995212
R. norvegicus,AABR07002093.2,0.224830379
R. norvegicus,AABR07002134.1,0.228541888
R. norvegicus,AABR07002140.2,0.254648356
R. norvegicus,AABR07002209.1,0.213523105
R. norvegicus,AABR07002241.1,0.206785448
R. norvegicus,AABR07002247.1,0.207469905
R. norvegicus,AABR07002351.2,0.262484532
R. norvegicus,AABR07002418.1,0.210968322
R. norvegicus,AABR07002467.1,0.210072046
R. norvegicus,AABR07002473.1,0.198147677
R. norvegicus,AABR07002496.1,0.207327504
R. norvegicus,AABR07002499.1,0.210767326
R. norvegicus,AABR07002622.1,0.255082248
R. norvegicus,AABR07002623.1,0.220287318
R. norvegicus,AABR07002659.1,0.206686013
R. norvegicus,AABR07002677.1,0.279592917
R. norvegicus,AABR07002680.2,0.21814997
R. norvegicus,AABR07002683.1,0.225487667
R. norvegicus,AABR07002689.1,0.256868136
R. norvegicus,AABR07002700.1,0.218491856
R. norvegicus,AABR07002736.1,0.218329038
R. norvegicus,AABR07002774.1,0.218459326
R. norvegicus,AABR07002774.2,0.214720596
R. norvegicus,AABR07002774.3,0.244031391
R. norvegicus,AABR07002774.4,0.229513761
R. norvegicus,AABR07002775.1,0.210532805
R. norvegicus,AABR07002782.1,0.199907568
R. norvegicus,AABR07002783.1,0.209104755
R. norvegicus,AABR07002784.1,0.203571987
R. norvegicus,AABR07002848.1,0.22700917
R. norvegicus,AABR07002854.1,0.213113185
R. norvegicus,AABR07002868.1,0.21730785
R. norvegicus,AABR07002870.1,0.233394792
R. norvegicus,AABR07002870.2,0.209515566
R. norvegicus,AABR07002885.1,0.216240428
R. norvegicus,AABR07002893.1,0.209515566
R. norvegicus,AABR07002896.1,0.233394792
R. norvegicus,AABR07002928.1,0.184562072
R. norvegicus,AABR07002945.1,0.258713611
R. norvegicus,AABR07002966.1,0.19130939
R. norvegicus,AABR07003056.1,0.213737561
R. norvegicus,AABR07003056.3,0.205712407
R. norvegicus,AABR07003173.1,0.212191897
R. norvegicus,AABR07003224.1,0.250141373
