organism,gene_name,tAI
M. musculus,0610009B22Rik,0.176533057
M. musculus,0610009O20Rik,0.194467172
M. musculus,0610010F05Rik,0.192013116
M. musculus,0610012G03Rik,0.190977908
M. musculus,0610030E20Rik,0.20262325
M. musculus,0610037L13Rik,0.227510358
M. musculus,0610040J01Rik,0.197075932
M. musculus,1110002E22Rik,0.2005564
M. musculus,1110004E09Rik,0.211464984
M. musculus,1110004F10Rik,0.190759029
M. musculus,1110008F13Rik,0.192056196
M. musculus,1110008L16Rik,0.200399481
M. musculus,1110008P14Rik,0.185768543
M. musculus,1110012L19Rik,0.202520212
M. musculus,1110025L11Rik,0.213081346
M. musculus,1110032A03Rik,0.185013606
M. musculus,1110032F04Rik,0.206278175
M. musculus,1110034G24Rik,0.181373451
M. musculus,1110038F14Rik,0.201817449
M. musculus,1110051M20Rik,0.197788455
M. musculus,1110057P08Rik,0.21698759
M. musculus,1110059E24Rik,0.203429276
M. musculus,1110059G10Rik,0.193808701
M. musculus,1110065P20Rik,0.220651734
M. musculus,1190002N15Rik,0.19162539
M. musculus,1190005I06Rik,0.209306907
M. musculus,1190007I07Rik,0.189203544
M. musculus,1300017J02Rik,0.212988749
M. musculus,1500009C09Rik,0.201585923
M. musculus,1500009L16Rik,0.210234567
M. musculus,1500011B03Rik,0.187458663
M. musculus,1500011K16Rik,0.221116964
M. musculus,1500015O10Rik,0.189899254
M. musculus,1520401A03Rik,0.201451949
M. musculus,1600002K03Rik,0.180690745
M. musculus,1600012H06Rik,0.197246486
M. musculus,1600014C10Rik,0.219718638
M. musculus,1600014C23Rik,0.189214416
M. musculus,1600015I10Rik,0.189998086
M. musculus,1700001C02Rik,0.180421349
M. musculus,1700001C19Rik,0.194749989
M. musculus,1700001F09Rik,0.217850158
M. musculus,1700001J03Rik,0.190155434
M. musculus,1700001K19Rik,0.187365083
M. musculus,1700001L19Rik,0.202045358
M. musculus,1700001O22Rik,0.188959152
M. musculus,1700001P01Rik,0.178506762
M. musculus,1700003E16Rik,0.194925215
M. musculus,1700003F12Rik,0.220358191
M. musculus,1700003H04Rik,0.186484024
M. musculus,1700006A11Rik,0.18847516
M. musculus,1700006E09Rik,0.179854727
M. musculus,1700007G11Rik,0.18978432
M. musculus,1700007K13Rik,0.203666918
M. musculus,1700008O03Rik,0.191357436
M. musculus,1700008P02Rik,0.184822842
M. musculus,1700009N14Rik,0.200404402
M. musculus,1700010B08Rik,0.188001912
M. musculus,1700010I14Rik,0.204271426
M. musculus,1700011H14Rik,0.186725638
M. musculus,1700011I03Rik,0.206739644
M. musculus,1700011L22Rik,0.190743801
M. musculus,1700011M02Rik,0.183141489
M. musculus,1700012A03Rik,0.221395803
M. musculus,1700012B07Rik,0.189436858
M. musculus,1700012B09Rik,0.171961901
M. musculus,1700012P22Rik,0.190114798
M. musculus,1700013D24Rik,0.192447307
M. musculus,1700013F07Rik,0.187944463
M. musculus,1700013G24Rik,0.185102199
M. musculus,1700013H16Rik,0.173357502
M. musculus,1700014D04Rik,0.190968492
M. musculus,1700015F17Rik,0.219985513
M. musculus,1700015G11Rik,0.19946296
M. musculus,1700016C15Rik,0.168216865
M. musculus,1700016D06Rik,0.188785984
M. musculus,1700016G14Rik,0.194113359
M. musculus,1700016H13Rik,0.204247387
M. musculus,1700016K19Rik,0.212482893
M. musculus,1700017D01Rik,0.179917716
M. musculus,1700017N19Rik,0.188202923
M. musculus,1700018B08Rik,0.204767465
M. musculus,1700018F24Rik,0.199592936
M. musculus,1700018G05Rik,0.19625426
M. musculus,1700019A02Rik,0.184369051
M. musculus,1700019D03Rik,0.20636634
M. musculus,1700019N19Rik,0.219133097
M. musculus,1700020A23Rik,0.190247652
M. musculus,1700020D05Rik,0.197933975
M. musculus,1700020L24Rik,0.210872647
M. musculus,1700020N01Rik,0.194270171
M. musculus,1700020N15Rik,0.199577284
M. musculus,1700021F05Rik,0.198159892
M. musculus,1700021F07Rik,0.210648074
