"gene_id","hl.dnCaf1","hl.GFP","gene_name","m6a.enrich","TPU.length","ARE.cts","tAI"
"ENSMUSG00000000001",4.3056353875378,3.1143527249686,"Gnai3",0.599165038,2037,6,0.199523128
"ENSMUSG00000000003",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000028",NA,NA,"Cdc45",-2.160064163,127,1,0.196280955
"ENSMUSG00000000031",2.25481511650349,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000037",NA,NA,"Scml2",0.142554532,1640,15,0.18676643
"ENSMUSG00000000049",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000056",NA,3.47358338526616,"Narf",0.680113205,2934,4,0.208427569
"ENSMUSG00000000058",NA,NA,"Cav2",-0.741386318,2068,5,0.196131994
"ENSMUSG00000000078",2.2783993898734,1.65044700513657,"Klf6",0.70617292,3111,8,0.180482051
"ENSMUSG00000000085",5.57150388997317,3.22608363972578,"Scmh1",-1.049021783,925,2,0.194275079
"ENSMUSG00000000088",NA,10.1302973137255,"Cox5a",-3.120478249,145,0,0.196715832
"ENSMUSG00000000093",NA,NA,"Tbx2",-0.068292808,934,7,0.209206948
"ENSMUSG00000000094",NA,NA,"Tbx4",0.610616627,1352,2,0.206727557
"ENSMUSG00000000103",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000120",5.20476266965926,NA,"Ngfr",2.670131019,1985,3,0.229340135
"ENSMUSG00000000125",NA,NA,"Wnt3",0.323940595,1881,5,0.218705229
"ENSMUSG00000000126",3.60059082022533,5.03048572083884,"Wnt9a",-0.35902081,2177,7,0.224331435
"ENSMUSG00000000127",NA,3.6080364429979,"Fer",1.507563403,910,4,0.202728362
"ENSMUSG00000000131",9.25113861628542,3.11585477354441,"Xpo6",0.190224086,574,0,0.189607969
"ENSMUSG00000000134",5.81934979215027,3.87959067238903,"Tfe3",-0.981095401,1271,0,0.194136334
"ENSMUSG00000000142",2.60458401364851,1.92444952037922,"Axin2",1.202830542,1388,5,0.201577191
